web_scraper_order,web_scraper_start_url,pagination-selector,name,data,description,data2,data3,data4,data5,data6,image
"1769693586-68","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Admiral 10 EC","check_circle","100 g/l piriproxifen","2026. jún. 30.","rovarölő szer","2026. jún. 30.","","","https://cdn.agromedium.com/uploads/2019/12/67c9c5e00038baa08a17/thumbnail.jpg"
"1769693586-69","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-70","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aegicote 1012","check_circle","8 m/m% C.I. Pigment Blue 15, 7 m/m% titánium-dioxid, 0,05 m/m% benzizotiazolinon","2034. okt. 31.","csávázási segédanyag","2034. okt. 31.","","",""
"1769693586-71","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aegicote 4042","check_circle","0,05 m/m% benzizotiazolinon, 2,5 m/m% red 7 pigment, 7,5 m/m% red pigment 48:2, 10 m/m% titánium-dioxid","2034. ápr. 30.","csávázási segédanyag","2034. ápr. 30.","","",""
"1769693586-72","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aegifix Plus","check_circle","45 m/m% zsírsav-észterek","2035. júl. 31.","csávázási segédanyag","2035. júl. 31.","","",""
"1769693586-73","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aegiplus 1002","check_circle","3 m/m% kék festékanyag (Pigment Blue 15:3)","2035. máj. 31.","csávázási segédanyag","2035. máj. 31.","","",""
"1769693586-74","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aegiplus 5001","check_circle","1,4 m/m% C.I. Acid Red 18","2034. okt. 31.","csávázási segédanyag","2034. okt. 31.","","",""
"1769693586-75","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/6969f7e8002c1baa38cf/file.png"
"1769693586-76","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Affirm","check_circle","9,5 g/kg emamektin-benzoát","2027. okt. 4.","rovarölő szer","2027. okt. 4.","","","https://cdn.agromedium.com/uploads/2019/03/67c9c5c60007ec5337c9/thumbnail.png"
"1769693586-77","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Affirm Opti","check_circle","9,5 g/kg emamektin-benzoát","2027. nov. 15.","rovarölő szer","2027. nov. 15.","","","https://cdn.agromedium.com/uploads/2019/03/67c9c5c60007ec5337c9/thumbnail.png"
